trial,target_id,timestamp,target_x_mm,target_y_mm,target_z_mm,confidence,pred_class,detected,outcome,failure_mode,cycle_time_s,ik_ok,pi_reply,notes
1,T01,2026-08-11 13:34:42,-324.0,1.7,102.3,0.718,strawberry,Y,S,,35.62,Y,DONE,
2,T02,2026-08-11 13:34:54,-295.9,200.6,103.8,0.704,strawberry,Y,F,5,0.04,N,NOT_SENT,
3,T03,2026-08-11 13:35:40,-290.9,172.8,102.5,0.756,strawberry,Y,S,,35.61,Y,DONE,
4,T04,2026-08-11 13:36:35,-335.1,-75.0,96.5,0.742,strawberry,Y,S,,35.5,Y,DONE,
5,T05,2026-08-11 13:37:35,-328.2,6.5,143.4,0.771,strawberry,Y,S,,35.37,Y,DONE,
6,T06,2026-08-11 13:37:47,-307.1,152.1,150.1,0.763,strawberry,Y,F,5,0.03,N,NOT_SENT,
7,T07,2026-08-11 13:38:10,-283.8,189.5,150.6,0.701,strawberry,Y,F,5,0.04,N,NOT_SENT,
8,T08,2026-08-11 13:38:26,-273.4,169.3,179.0,0.711,strawberry,Y,F,5,0.04,N,NOT_SENT,
9,T09,2026-08-11 13:39:31,-237.5,192.7,178.3,0.76,strawberry,Y,S,,35.39,Y,DONE,
10,T10,2026-08-11 13:39:42,-315.5,-3.6,173.8,0.742,strawberry,Y,F,5,0.04,N,NOT_SENT,
11,T11,2026-08-11 13:40:33,-299.2,-2.1,171.7,0.728,strawberry,Y,S,,35.61,Y,DONE,
12,T12,2026-08-11 13:41:27,-286.2,-2.1,201.9,0.75,strawberry,Y,S,,35.49,Y,DONE,
13,T13,2026-08-11 13:43:57,-267.9,-112.9,165.4,0.76,strawberry,Y,S,,35.61,Y,DONE,
14,T14,2026-08-11 13:44:23,-283.3,-113.9,196.5,0.751,strawberry,Y,F,5,0.03,N,NOT_SENT,
15,T15,2026-08-11 13:44:35,-218.3,222.9,178.1,0.722,strawberry,Y,F,5,0.04,N,NOT_SENT,
16,T16,2026-08-11 13:45:54,-226.8,192.9,177.9,0.701,strawberry,Y,S,,35.5,Y,DONE,
17,T17,2026-08-11 13:46:54,-290.6,126.2,102.7,0.795,strawberry,Y,S,,35.5,Y,DONE,
18,T18,2026-08-11 13:47:40,-307.8,-125.5,93.2,0.720,strawberry,Y,S,,35.6,Y,DONE,
19,T19,2026-08-11 13:48:32,-253.8,-127.9,132.6,0.724,strawberry,Y,S,,35.73,Y,DONE,
20,T20,2026-08-11 13:49:59,-219.4,-123.6,163.3,0.735,strawberry,Y,S,,35.94,Y,DONE,
21,T21,2026-08-11 13:51:17,-191.0,161.0,174.0,0.746,strawberry,Y,S,,35.73,Y,DONE,
22,T22,2026-08-11 13:52:12,-204.7,187.9,175.7,0.81,strawberry,Y,S,,35.62,Y,DONE,
23,T23,2026-08-11 13:56:18,-198.0,178.3,207.2,0.706,strawberry,Y,F,3,35.72,Y,DONE,
24,T24,2026-08-11 13:57:39,-198.3,183.8,213.5,0.704,strawberry,Y,S,,35.6,Y,DONE,
25,T25,2026-08-11 14:02:24,-257.8,-12.0,206.6,0.811,strawberry,Y,S,,35.49,Y,DONE,
26,T26,2026-08-11 14:03:22,-332.2,5.6,95.4,0.823,strawberry,Y,S,,35.5,Y,DONE,
27,T27,2026-08-11 14:03:35,-265.4,129.0,214.6,0.738,strawberry,Y,F,5,0.04,N,NOT_SENT,
28,T28,2026-08-11 14:03:47,-222.8,193.7,214.5,0.728,strawberry,Y,F,5,0.04,N,NOT_SENT,
29,T29,2026-08-11 14:31:57,-280.2,24.3,209.8,0.772,strawberry,Y,S,,35.49,Y,DONE,
30,T30,2026-08-11 14:32:48,-243.0,-117.1,167.2,0.712,strawberry,Y,S,,35.6,Y,DONE,
31,T31,2026-08-11 14:34:11,-164.4,165.9,202.1,0.753,strawberry,Y,S,,35.49,Y,DONE,
32,T32,2026-08-11 14:35:19,-227.8,-95.9,168.1,0.762,strawberry,Y,S,,36.06,Y,DONE,
33,T33,2026-08-11 14:36:21,-219.0,127.0,175.1,0.704,strawberry,Y,S,,35.72,Y,DONE,
34,T34,2026-08-11 14:38:29,-163.6,-166.2,193.5,0.705,strawberry,Y,S,,35.61,Y,DONE,
35,T35,2026-08-11 14:39:21,-202.5,-46.8,244.6,0.808,strawberry,Y,S,,35.72,Y,DONE,
36,T36,2026-08-11 14:39:40,-192.3,146.7,253.6,0.76,strawberry,Y,F,5,0.03,N,NOT_SENT,
37,T37,2026-08-11 14:40:50,-170.7,139.4,252.8,0.71,strawberry,Y,S,,35.6,Y,DONE,
38,T38,2026-08-11 14:41:00,-254.5,-12.4,249.3,0.85,strawberry,Y,F,5,0.04,N,NOT_SENT,
39,T39,2026-08-11 14:42:50,-227.5,-15.9,247.7,0.826,strawberry,Y,S,,35.61,Y,DONE,
40,T40,2026-08-11 14:43:00,-118.2,184.4,248.7,0.762,strawberry,Y,F,5,0.06,N,NOT_SENT,
41,T41,2026-08-11 14:44:24,-127.4,158.3,250.1,0.801,strawberry,Y,S,,35.73,Y,DONE,
42,T42,2026-08-11 14:45:22,-218.1,105.9,221.3,0.801,strawberry,Y,S,,35.49,Y,DONE,
43,T43,2026-08-11 14:45:36,-274.1,64.1,219.8,0.846,strawberry,Y,F,5,0.05,N,NOT_SENT,
44,T44,2026-08-11 14:46:58,-227.1,55.5,218.7,0.759,strawberry,Y,S,,35.73,Y,DONE,
45,T45,2026-08-11 14:48:08,-265.5,-97.7,202.3,0.846,strawberry,Y,S,,35.49,Y,DONE,
46,T46,2026-08-11 14:49:28,-251.8,-107.4,170.2,0.753,strawberry,Y,S,,35.71,Y,DONE,
47,T47,2026-08-11 14:50:32,-242.2,-172.5,174.5,0.823,strawberry,Y,S,,35.62,Y,DONE,
48,T48,2026-08-11 14:51:49,-286.3,-142.7,95.5,0.744,strawberry,Y,S,,35.59,Y,DONE,
49,T49,2026-08-11 14:53:23,-286.7,5.9,109.0,0.818,strawberry,Y,S,,35.61,Y,DONE,
50,T50,2026-08-11 14:54:15,-232.4,-117.9,97.4,0.815,strawberry,Y,S,,38.81,Y,DONE,
