epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.427,1.14281,2.18119,1.26812,0.52867,0.45477,0.48921,0.34563,1.0673,2.2594,1.12154,0.00051677,0.00051677,0.00051677
2,20.0285,1.12048,1.47875,1.22316,0.58002,0.50149,0.58467,0.37624,1.20161,1.88357,1.21738,0.00103288,0.00103288,0.00103288
3,29.4774,1.15444,1.4341,1.25402,0.65487,0.51218,0.52437,0.30604,1.27577,2.20168,1.27534,0.00153139,0.00153139,0.00153139
4,38.536,1.1694,1.30923,1.22829,0.70658,0.4881,0.64182,0.42438,1.27362,1.78069,1.27856,0.00158448,0.00158448,0.00158448
5,46.6989,1.14548,1.29517,1.24184,0.61095,0.72619,0.67659,0.43967,1.18789,1.48204,1.22781,0.00155698,0.00155698,0.00155698
6,55.9529,1.12423,1.23917,1.21763,0.59904,0.70779,0.65128,0.39415,1.24501,1.42048,1.27312,0.00152947,0.00152947,0.00152947
7,63.9896,1.13394,1.22987,1.22847,0.78868,0.63765,0.71621,0.48366,1.22566,1.3978,1.24908,0.00150197,0.00150197,0.00150197
8,73.2176,1.10916,1.14476,1.22971,0.64476,0.6503,0.6976,0.45651,1.19593,1.24472,1.22219,0.00147446,0.00147446,0.00147446
9,82.4441,1.0844,1.13309,1.20608,0.60308,0.70169,0.67993,0.44136,1.18909,1.14455,1.22631,0.00144696,0.00144696,0.00144696
10,90.5237,1.12614,1.09789,1.21554,0.73085,0.75174,0.79292,0.544,1.15582,1.0147,1.21067,0.00141945,0.00141945,0.00141945
11,99.6574,1.1151,1.0729,1.21429,0.66361,0.7372,0.75823,0.50721,1.1439,1.10331,1.19941,0.00139195,0.00139195,0.00139195
12,108.129,1.10612,1.05032,1.21575,0.70301,0.70473,0.79608,0.53669,1.13562,0.99362,1.21144,0.00136444,0.00136444,0.00136444
13,116.794,1.09926,0.99993,1.21127,0.72706,0.72027,0.80667,0.54014,1.14474,1.01799,1.23143,0.00133693,0.00133693,0.00133693
14,126.14,1.07949,1.00561,1.1888,0.71163,0.76745,0.80598,0.55703,1.12237,1.00896,1.18672,0.00130943,0.00130943,0.00130943
15,134.164,1.07832,0.9621,1.19425,0.7788,0.7741,0.8302,0.58618,1.14526,1.02474,1.19525,0.00128192,0.00128192,0.00128192
16,143.72,1.06606,0.96432,1.1823,0.78598,0.78793,0.82208,0.57019,1.10273,1.02098,1.15638,0.00125442,0.00125442,0.00125442
17,153.306,1.08059,0.94561,1.17836,0.72301,0.66438,0.76491,0.49397,1.14663,0.97422,1.19767,0.00122691,0.00122691,0.00122691
18,161.498,1.04257,0.91581,1.15952,0.7317,0.8028,0.86669,0.60402,1.09835,0.84132,1.15893,0.00119941,0.00119941,0.00119941
19,170.488,1.03961,0.94605,1.17559,0.76893,0.7686,0.83632,0.56721,1.10887,0.99502,1.17141,0.0011719,0.0011719,0.0011719
20,179.151,1.03391,0.9048,1.15357,0.77904,0.72619,0.8128,0.56647,1.11295,0.97585,1.18803,0.0011444,0.0011444,0.0011444
21,187.731,1.02763,0.86669,1.16492,0.70474,0.70164,0.81674,0.57186,1.08555,0.84813,1.18061,0.00111689,0.00111689,0.00111689
22,197.369,0.99797,0.87295,1.16464,0.83591,0.71429,0.85331,0.60097,1.06318,0.8732,1.15091,0.00108938,0.00108938,0.00108938
23,205.324,1.03486,0.86266,1.14397,0.81438,0.71017,0.85556,0.6115,1.10618,0.86954,1.17564,0.00106188,0.00106188,0.00106188
24,214.391,1.00353,0.86769,1.1588,0.72185,0.80226,0.81469,0.57909,1.1036,0.84677,1.16778,0.00103437,0.00103437,0.00103437
25,223.066,1.01612,0.84679,1.16056,0.86118,0.7291,0.86829,0.60799,1.09192,0.8493,1.17649,0.00100687,0.00100687,0.00100687
26,231.726,1.0162,0.81972,1.15412,0.80014,0.67816,0.78564,0.55142,1.09667,0.90848,1.17457,0.000979362,0.000979362,0.000979362
27,240.805,1.00973,0.80459,1.14593,0.75656,0.74545,0.8224,0.56735,1.10459,0.87265,1.17804,0.000951857,0.000951857,0.000951857
28,248.887,0.99485,0.82099,1.14858,0.76632,0.76562,0.87834,0.6209,1.06815,0.80587,1.14018,0.000924352,0.000924352,0.000924352
29,258.844,0.96973,0.77569,1.14564,0.81399,0.74076,0.84757,0.61159,1.07599,0.91786,1.16613,0.000896846,0.000896846,0.000896846
30,267.954,0.97973,0.80533,1.12072,0.81808,0.81767,0.88784,0.62221,1.09523,0.81379,1.15621,0.00086934,0.00086934,0.00086934
31,276.092,0.96286,0.75088,1.13421,0.78386,0.77083,0.86952,0.61181,1.09804,0.81632,1.1682,0.000841835,0.000841835,0.000841835
32,285.691,0.98269,0.77486,1.14058,0.7546,0.85413,0.89099,0.63247,1.113,0.79246,1.17362,0.000814329,0.000814329,0.000814329
33,294.481,0.98024,0.73759,1.14229,0.75943,0.79985,0.87234,0.63173,1.04151,0.79294,1.13191,0.000786824,0.000786824,0.000786824
34,303.044,0.96183,0.73975,1.13939,0.83181,0.83557,0.90232,0.6577,1.06017,0.76787,1.14222,0.000759318,0.000759318,0.000759318
35,312.514,0.95217,0.71789,1.12889,0.74839,0.8564,0.90911,0.6561,1.06223,0.70094,1.15271,0.000731813,0.000731813,0.000731813
36,320.307,0.93487,0.70192,1.12929,0.80586,0.83185,0.89636,0.64797,1.06197,0.73744,1.15038,0.000704307,0.000704307,0.000704307
37,329.617,0.96333,0.74127,1.1223,0.8147,0.79447,0.87741,0.642,1.06407,0.74841,1.14815,0.000676802,0.000676802,0.000676802
38,338.718,0.96597,0.72289,1.12723,0.82805,0.78829,0.9001,0.64352,1.11276,0.75763,1.16645,0.000649297,0.000649297,0.000649297
39,347.171,0.94333,0.68849,1.11771,0.81825,0.74926,0.87007,0.6317,1.10225,0.79633,1.16857,0.000621791,0.000621791,0.000621791
40,356.841,0.92852,0.69842,1.12044,0.79022,0.74919,0.88732,0.63796,1.1154,0.77606,1.1862,0.000594286,0.000594286,0.000594286
41,365.391,0.92461,0.68057,1.09893,0.82573,0.82306,0.90004,0.64616,1.07406,0.74135,1.14532,0.00056678,0.00056678,0.00056678
42,373.947,0.91005,0.65521,1.10495,0.8274,0.79539,0.88365,0.62442,1.10067,0.7407,1.15984,0.000539275,0.000539275,0.000539275
43,383.176,0.90707,0.65187,1.09063,0.80288,0.81427,0.88864,0.6448,1.06339,0.7272,1.15117,0.000511769,0.000511769,0.000511769
44,391.143,0.91139,0.65565,1.10431,0.84403,0.77753,0.85761,0.61734,1.05322,0.79839,1.14549,0.000484263,0.000484263,0.000484263
45,400.538,0.91365,0.69006,1.11014,0.9085,0.7194,0.88014,0.63505,1.07354,0.77688,1.16469,0.000456758,0.000456758,0.000456758
46,410.251,0.90568,0.62874,1.10054,0.88372,0.73436,0.89415,0.64457,1.06806,0.72701,1.15732,0.000429253,0.000429253,0.000429253
47,418.07,0.89704,0.6477,1.09553,0.87605,0.72693,0.88329,0.6428,1.06474,0.73995,1.15138,0.000401747,0.000401747,0.000401747
48,427.788,0.89716,0.60154,1.098,0.84117,0.82199,0.8872,0.63044,1.08536,0.74552,1.16763,0.000374242,0.000374242,0.000374242
49,436.56,0.87036,0.63728,1.08796,0.80022,0.80564,0.8679,0.62651,1.09638,0.78919,1.17921,0.000346736,0.000346736,0.000346736
50,444.992,0.90405,0.6169,1.09592,0.86847,0.7888,0.89296,0.64598,1.09908,0.71953,1.17378,0.000319231,0.000319231,0.000319231
51,456.427,0.84495,0.55228,1.06287,0.74852,0.79836,0.87802,0.62009,1.11876,0.79304,1.17536,0.000291725,0.000291725,0.000291725
52,464.693,0.8418,0.5183,1.06618,0.87339,0.78327,0.89346,0.63738,1.09618,0.72791,1.17219,0.00026422,0.00026422,0.00026422
53,473.363,0.82041,0.50703,1.05791,0.8453,0.8125,0.9019,0.66027,1.08246,0.7243,1.1641,0.000236714,0.000236714,0.000236714
54,482.265,0.80897,0.49251,1.05284,0.85671,0.82688,0.90534,0.65264,1.06973,0.68652,1.16217,0.000209209,0.000209209,0.000209209
55,489.805,0.81214,0.49986,1.04918,0.72423,0.86254,0.894,0.64644,1.08813,0.73697,1.17315,0.000181703,0.000181703,0.000181703
56,499.014,0.80315,0.48584,1.04154,0.83008,0.87415,0.91218,0.65947,1.08212,0.70834,1.17321,0.000154198,0.000154198,0.000154198
57,508.024,0.80201,0.46443,1.03898,0.8788,0.81927,0.91338,0.66237,1.07129,0.68155,1.16064,0.000126692,0.000126692,0.000126692
