epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4927,0.86118,1.21692,1.2271,0.81581,0.75783,0.82248,0.58418,0.91451,1.83522,1.29472,0.00046826,0.00046826,0.00046826
2,68.7688,0.87201,0.81834,1.24387,0.49572,0.67109,0.49197,0.28528,1.36178,3.93643,1.69863,0.000929007,0.000929007,0.000929007
3,103.058,0.90586,0.80254,1.24691,0.75606,0.6988,0.77252,0.51752,1.09776,2.17141,1.4938,0.00137404,0.00137404,0.00137404
4,139.418,0.86877,0.77948,1.23187,0.60876,0.54697,0.55136,0.31708,1.52306,2.4318,1.7392,0.00135826,0.00135826,0.00135826
5,175.175,0.85323,0.74453,1.2165,0.82563,0.77453,0.86109,0.61209,0.98801,0.94853,1.33722,0.00133469,0.00133469,0.00133469
6,213.379,0.83752,0.7232,1.21482,0.87616,0.76827,0.85983,0.65957,0.87455,0.88008,1.22456,0.00131111,0.00131111,0.00131111
7,249.844,0.83973,0.72209,1.20923,0.91143,0.78288,0.90063,0.68578,0.83435,0.74331,1.17809,0.00128753,0.00128753,0.00128753
8,285.788,0.80272,0.66551,1.18325,0.89304,0.78079,0.8713,0.65499,0.91374,0.91203,1.24632,0.00126395,0.00126395,0.00126395
9,321.723,0.80359,0.66302,1.18705,0.81484,0.78706,0.86295,0.6572,0.87932,0.78889,1.17625,0.00124037,0.00124037,0.00124037
10,357.473,0.78043,0.64488,1.17002,0.92067,0.77533,0.89379,0.69774,0.79663,0.60231,1.12621,0.00121679,0.00121679,0.00121679
11,393.584,0.78705,0.64712,1.16885,0.86957,0.82255,0.89833,0.67883,0.8254,0.71212,1.16809,0.00119322,0.00119322,0.00119322
12,429.322,0.7544,0.60515,1.1524,0.93441,0.83273,0.92319,0.74119,0.741,0.57312,1.09585,0.00116964,0.00116964,0.00116964
13,467.889,0.75134,0.61309,1.14644,0.88324,0.84342,0.92115,0.72591,0.78176,0.62381,1.09798,0.00114606,0.00114606,0.00114606
