epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7834,0.94558,1.67686,1.22185,0.67225,0.6224,0.63816,0.4547,0.99059,2.06611,1.14785,0.000545182,0.000545182,0.000545182
2,36.3887,0.97815,1.15395,1.20414,0.57857,0.69313,0.69342,0.49668,0.96795,3.50629,1.23156,0.00106971,0.00106971,0.00106971
3,53.904,1.02327,1.0811,1.22551,0.62008,0.66629,0.66797,0.44369,1.06636,2.82527,1.32279,0.0015628,0.0015628,0.0015628
4,70.4587,1.03183,1.0943,1.22501,0.66914,0.65984,0.701,0.47335,1.10592,1.44177,1.23681,0.00152554,0.00152554,0.00152554
5,87.0358,0.9905,1.04814,1.21697,0.7339,0.69724,0.75735,0.5412,0.97495,1.17835,1.15474,0.00147839,0.00147839,0.00147839
6,104.307,0.97723,0.99062,1.20005,0.74988,0.6571,0.73855,0.52807,0.97457,1.04352,1.17757,0.00143124,0.00143124,0.00143124
7,121.235,0.9421,0.97183,1.18386,0.68484,0.74158,0.7137,0.51016,0.93227,1.25886,1.10133,0.00138409,0.00138409,0.00138409
8,137.951,0.91367,0.92767,1.16511,0.77694,0.60156,0.72607,0.55668,0.86016,0.95529,1.07043,0.00133693,0.00133693,0.00133693
9,154.859,0.89899,0.89693,1.15161,0.67618,0.73047,0.73673,0.57118,0.86928,0.94456,1.06274,0.00128978,0.00128978,0.00128978
10,172.026,0.88426,0.88817,1.14812,0.76269,0.69457,0.79127,0.59985,0.8762,0.92315,1.06774,0.00124263,0.00124263,0.00124263
11,188.665,0.86588,0.86676,1.12953,0.74691,0.70759,0.77549,0.59918,0.83345,0.84498,1.04574,0.00119548,0.00119548,0.00119548
12,205.359,0.85536,0.83329,1.12967,0.71199,0.78767,0.81054,0.61471,0.86238,0.88036,1.05965,0.00114832,0.00114832,0.00114832
13,222.983,0.83031,0.817,1.11179,0.82751,0.76823,0.83761,0.65987,0.82117,0.75583,1.02782,0.00110117,0.00110117,0.00110117
14,239.712,0.82932,0.80087,1.10687,0.85595,0.73719,0.8388,0.6675,0.77982,0.75269,0.99809,0.00105402,0.00105402,0.00105402
15,256.26,0.79861,0.7647,1.09521,0.84815,0.77381,0.84034,0.66109,0.78437,0.71845,1.01637,0.00100687,0.00100687,0.00100687
16,273.21,0.8253,0.78827,1.10998,0.85336,0.75191,0.86953,0.66541,0.79956,0.72816,1.01504,0.000959716,0.000959716,0.000959716
17,290.193,0.7921,0.77981,1.09622,0.7792,0.77276,0.82587,0.6541,0.76583,0.82744,1.00179,0.000912563,0.000912563,0.000912563
18,306.798,0.77355,0.73843,1.08025,0.82958,0.80507,0.84753,0.67303,0.75352,0.70519,0.99199,0.000865411,0.000865411,0.000865411
19,323.523,0.76614,0.73437,1.08639,0.83397,0.78882,0.86037,0.67042,0.77606,0.70986,1.00815,0.000818259,0.000818259,0.000818259
20,340.79,0.76169,0.7126,1.08024,0.85096,0.79171,0.86765,0.68693,0.7492,0.65492,0.99063,0.000771107,0.000771107,0.000771107
21,357.216,0.7561,0.67428,1.06774,0.7765,0.78683,0.82409,0.66591,0.73736,0.70291,0.98907,0.000723954,0.000723954,0.000723954
22,373.744,0.73103,0.67773,1.06429,0.84829,0.78914,0.85255,0.68787,0.71313,0.64355,0.97753,0.000676802,0.000676802,0.000676802
23,391.001,0.75363,0.67906,1.06684,0.91272,0.76678,0.86955,0.70651,0.70957,0.61625,0.96113,0.00062965,0.00062965,0.00062965
24,407.953,0.73018,0.64134,1.05639,0.85581,0.83519,0.89784,0.71803,0.70622,0.60149,0.961,0.000582497,0.000582497,0.000582497
25,424.6,0.71675,0.63937,1.04876,0.8265,0.84132,0.88015,0.71364,0.69255,0.58896,0.95889,0.000535345,0.000535345,0.000535345
26,443.359,0.64107,0.58929,0.99599,0.8461,0.8374,0.8935,0.71032,0.70904,0.64559,0.97262,0.000488193,0.000488193,0.000488193
27,459.53,0.6117,0.54645,0.98201,0.8835,0.85079,0.9177,0.73396,0.70579,0.54488,0.97469,0.000441041,0.000441041,0.000441041
28,475.681,0.59927,0.53926,0.97501,0.87157,0.7872,0.86616,0.71125,0.69157,0.65294,0.96024,0.000393888,0.000393888,0.000393888
29,492.093,0.59897,0.51613,0.97644,0.82582,0.88893,0.91886,0.74721,0.67668,0.52785,0.94919,0.000346736,0.000346736,0.000346736
30,509.025,0.58131,0.50384,0.96492,0.8276,0.86979,0.91305,0.74888,0.66917,0.59385,0.94921,0.000299584,0.000299584,0.000299584
31,525.294,0.56987,0.49943,0.9658,0.84556,0.87351,0.92633,0.7587,0.64876,0.51992,0.93845,0.000252431,0.000252431,0.000252431
32,541.672,0.55635,0.47566,0.9504,0.83606,0.8699,0.92608,0.76293,0.64455,0.5212,0.93641,0.000205279,0.000205279,0.000205279
33,558.732,0.54378,0.44947,0.93879,0.89275,0.83817,0.92897,0.76133,0.641,0.49395,0.93487,0.000158127,0.000158127,0.000158127
34,575.025,0.53745,0.44708,0.93571,0.88094,0.84003,0.92579,0.76023,0.63943,0.52862,0.93721,0.000110975,0.000110975,0.000110975
35,591.164,0.5299,0.42918,0.93158,0.85698,0.86589,0.92958,0.76181,0.63959,0.49203,0.93485,6.38223e-05,6.38223e-05,6.38223e-05
