epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.877,0.88794,1.22038,1.46869,0.8398,0.84058,0.8373,0.5383,1.47647,1.73779,1.9295,0.000542114,0.000542114,0.000542114
2,1241.15,0.7031,0.71207,1.27829,0.9757,0.86957,0.92681,0.69762,0.72743,2.51253,1.37496,0.00104344,0.00104344,0.00104344
3,1840,0.73098,0.6577,1.30089,0.87298,0.79684,0.8216,0.52783,1.37048,1.74132,2.41694,0.00148976,0.00148976,0.00148976
4,2486.38,0.65088,0.58819,1.26141,0.73521,0.60366,0.68768,0.34824,1.68572,2.32559,2.51495,0.00141945,0.00141945,0.00141945
5,2996.08,0.65472,0.54401,1.23162,0.98381,0.88094,0.9429,0.74546,0.88824,1.20934,1.76331,0.00133693,0.00133693,0.00133693
6,3542.4,0.59109,0.4782,1.19689,0.96359,0.86957,0.91189,0.85079,0.41428,0.55412,0.88496,0.00125442,0.00125442,0.00125442
7,4087.83,0.55834,0.46066,1.16183,0.92106,0.95652,0.97394,0.83337,0.58599,0.73305,1.16648,0.0011719,0.0011719,0.0011719
8,4664.95,0.52812,0.44143,1.15287,0.96873,0.89791,0.9696,0.9076,0.42366,0.54829,0.92464,0.00108938,0.00108938,0.00108938
9,5303.89,0.49903,0.41328,1.13167,0.98184,0.86957,0.93598,0.86805,0.44646,0.49724,0.88467,0.00100687,0.00100687,0.00100687
10,5877.4,0.50997,0.42747,1.12035,0.88048,0.86957,0.92447,0.8732,0.42723,0.54277,0.90271,0.000924352,0.000924352,0.000924352
11,6414.05,0.33814,0.33016,1.05484,0.98382,0.88118,0.94328,0.90111,0.41135,0.54866,0.85876,0.000841835,0.000841835,0.000841835
12,7150.82,0.31743,0.30876,1.04236,0.98177,0.86957,0.90388,0.87831,0.32819,0.47347,0.76841,0.000759318,0.000759318,0.000759318
13,7682.45,0.28171,0.28134,1.00045,0.98177,0.86957,0.93504,0.90825,0.3221,0.41705,0.75131,0.000676802,0.000676802,0.000676802
14,8235.09,0.26546,0.26479,0.97987,0.98121,0.91304,0.96715,0.93325,0.27188,0.39039,0.7108,0.000594286,0.000594286,0.000594286
15,8764.39,0.24497,0.24628,0.96945,0.98432,0.91006,0.96347,0.92996,0.31399,0.42557,0.73533,0.000511769,0.000511769,0.000511769
16,9613.6,0.22175,0.21284,0.95367,0.98078,0.86957,0.96754,0.92834,0.26793,0.36774,0.70428,0.000429253,0.000429253,0.000429253
17,10144.9,0.22069,0.20603,0.95965,0.98383,0.88204,0.95045,0.92228,0.26244,0.41524,0.69835,0.000346736,0.000346736,0.000346736
18,10672.2,0.21361,0.19807,0.95732,0.98385,0.88308,0.96043,0.92831,0.27578,0.42046,0.70191,0.00026422,0.00026422,0.00026422
19,11183.7,0.20184,0.1799,0.94192,0.98387,0.88382,0.95656,0.9292,0.24207,0.3929,0.67871,0.000181703,0.000181703,0.000181703
20,11689.3,0.18981,0.17033,0.94311,0.98385,0.88274,0.95233,0.92848,0.23166,0.38258,0.67575,9.91865e-05,9.91865e-05,9.91865e-05
