epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9307,0.93778,1.67174,1.31591,0.52695,0.56273,0.52453,0.34891,1.06891,2.34073,1.34716,0.000408951,0.000408951,0.000408951
2,67.2166,0.96014,1.21717,1.29809,0.36761,0.56034,0.46223,0.312,1.03199,5.44884,1.52696,0.000798372,0.000798372,0.000798372
3,98.2532,1.01655,1.15775,1.35631,0.3893,0.53191,0.43544,0.28128,1.10385,4.40066,1.56494,0.00116029,0.00116029,0.00116029
4,129.835,1.02596,1.1618,1.33727,0.46946,0.44676,0.46015,0.29141,1.30847,2.07147,1.6001,0.00112625,0.00112625,0.00112625
5,160.866,0.98406,1.07983,1.3156,0.41073,0.64238,0.52677,0.34088,1.06993,2.22057,1.3741,0.001085,0.001085,0.001085
6,191.801,0.93355,0.97606,1.2659,0.59438,0.69931,0.68781,0.48379,0.94103,1.43981,1.31653,0.00104375,0.00104375,0.00104375
7,223.691,0.94377,0.99111,1.28706,0.66246,0.67966,0.69843,0.53581,0.87241,1.01669,1.1828,0.0010025,0.0010025,0.0010025
8,255.107,0.87824,0.89181,1.23443,0.6609,0.69442,0.67271,0.48422,0.93739,1.02824,1.26524,0.00096125,0.00096125,0.00096125
9,286.221,0.87976,0.92577,1.23238,0.63183,0.63214,0.66448,0.48017,0.8307,1.0145,1.16161,0.00092,0.00092,0.00092
10,317.08,0.86933,0.88755,1.23362,0.72191,0.81072,0.81111,0.6115,0.84096,0.96498,1.19415,0.00087875,0.00087875,0.00087875
11,348.813,0.86866,0.86859,1.23518,0.76611,0.74791,0.78875,0.60829,0.78125,0.84242,1.11265,0.0008375,0.0008375,0.0008375
12,379.576,0.83856,0.82343,1.21169,0.72371,0.74594,0.7747,0.59316,0.786,0.88036,1.15479,0.00079625,0.00079625,0.00079625
13,411.119,0.82283,0.80187,1.20777,0.6867,0.80465,0.78874,0.61552,0.80588,0.86885,1.14557,0.000755,0.000755,0.000755
14,442.894,0.79738,0.75984,1.18362,0.72927,0.80095,0.80534,0.63836,0.74199,0.77957,1.07548,0.00071375,0.00071375,0.00071375
15,474.49,0.78512,0.75281,1.17783,0.66253,0.83453,0.82085,0.63747,0.79043,0.84549,1.15535,0.0006725,0.0006725,0.0006725
16,506.082,0.80466,0.76774,1.18998,0.73272,0.78541,0.78826,0.6169,0.7837,0.85568,1.08506,0.00063125,0.00063125,0.00063125
17,537.504,0.78565,0.75312,1.16169,0.80597,0.82097,0.85166,0.67344,0.71706,0.65042,1.06697,0.00059,0.00059,0.00059
18,568.914,0.75116,0.6903,1.14476,0.73771,0.80688,0.80336,0.62847,0.69629,0.77918,1.0642,0.00054875,0.00054875,0.00054875
19,600.464,0.76225,0.67819,1.15226,0.78533,0.73574,0.81256,0.65724,0.71464,0.71717,1.05611,0.0005075,0.0005075,0.0005075
20,631.656,0.75344,0.68075,1.14861,0.76117,0.79062,0.82479,0.67011,0.70215,0.67581,1.08578,0.00046625,0.00046625,0.00046625
21,663.848,0.63768,0.6089,1.0791,0.7726,0.8243,0.84828,0.68501,0.68446,0.63809,1.05174,0.000425,0.000425,0.000425
22,695.228,0.62242,0.59083,1.05201,0.79555,0.74377,0.82885,0.66459,0.70394,0.65344,1.06731,0.00038375,0.00038375,0.00038375
23,726.697,0.60113,0.54226,1.03658,0.74747,0.84423,0.83153,0.68783,0.65497,0.62617,1.02425,0.0003425,0.0003425,0.0003425
24,757.851,0.60673,0.5456,1.05091,0.78641,0.82568,0.85136,0.69971,0.6591,0.59451,1.04169,0.00030125,0.00030125,0.00030125
25,789.306,0.58412,0.518,1.03842,0.78964,0.84115,0.84681,0.70236,0.64591,0.5873,1.03825,0.00026,0.00026,0.00026
26,820.561,0.56815,0.48376,1.02707,0.79248,0.80409,0.85368,0.71119,0.65022,0.5973,1.0522,0.00021875,0.00021875,0.00021875
27,851.993,0.55156,0.45788,1.00715,0.74858,0.83361,0.85116,0.7048,0.6368,0.58928,1.0363,0.0001775,0.0001775,0.0001775
28,882.864,0.54972,0.44831,1.00766,0.84052,0.77015,0.85657,0.71311,0.63997,0.57257,1.02731,0.00013625,0.00013625,0.00013625
29,914.494,0.53479,0.4306,1.00225,0.82101,0.79764,0.85514,0.71393,0.64184,0.55894,1.02704,9.5e-05,9.5e-05,9.5e-05
30,945.63,0.51577,0.42274,0.98488,0.7957,0.84195,0.86069,0.72161,0.6339,0.58422,1.01963,5.375e-05,5.375e-05,5.375e-05
