epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3927,0.98251,1.79788,1.30531,0.6424,0.68049,0.69637,0.4847,0.94937,3.61427,1.35732,0.000408951,0.000408951,0.000408951
2,58.2893,0.98813,1.19492,1.28032,0.45266,0.61702,0.49596,0.29584,1.39576,4.49895,1.81073,0.000805183,0.000805183,0.000805183
3,84.4115,1.03186,1.20167,1.31913,0.63805,0.58502,0.60428,0.40725,1.15229,2.52559,1.53699,0.00118079,0.00118079,0.00118079
4,110.804,1.06962,1.1018,1.33931,0.60209,0.61828,0.64566,0.44025,1.04779,2.6387,1.39206,0.00115719,0.00115719,0.00115719
5,137.994,1.01147,1.10175,1.27729,0.7101,0.6217,0.7033,0.4666,1.10469,1.94833,1.42879,0.00112625,0.00112625,0.00112625
6,165.574,0.99595,1.00142,1.26147,0.73373,0.63277,0.72928,0.52224,1.01811,1.74169,1.3306,0.00109531,0.00109531,0.00109531
7,198.666,0.9744,0.9958,1.28203,0.8095,0.7102,0.78642,0.56367,0.95977,0.94978,1.25773,0.00106437,0.00106437,0.00106437
8,226.669,0.95031,0.97459,1.23891,0.79044,0.6868,0.78965,0.57595,0.89637,0.96628,1.19491,0.00103344,0.00103344,0.00103344
9,254.851,0.9443,0.95665,1.23207,0.75607,0.81038,0.82701,0.58511,0.88163,0.82556,1.18204,0.0010025,0.0010025,0.0010025
10,284.05,0.87839,0.91135,1.21302,0.83298,0.70766,0.78061,0.59264,0.88423,0.79926,1.171,0.000971562,0.000971562,0.000971562
11,311.938,0.87782,0.87144,1.21491,0.76394,0.72623,0.79882,0.59991,0.86464,0.78289,1.14306,0.000940625,0.000940625,0.000940625
12,340.024,0.87661,0.85632,1.19739,0.64495,0.73558,0.74483,0.5669,0.81149,1.02845,1.11953,0.000909688,0.000909688,0.000909688
13,367.532,0.85108,0.84727,1.18787,0.76783,0.73599,0.83377,0.60971,0.87282,0.76907,1.15001,0.00087875,0.00087875,0.00087875
14,395.305,0.87221,0.82659,1.19471,0.8181,0.78527,0.85518,0.64484,0.81456,0.73298,1.11623,0.000847813,0.000847813,0.000847813
15,423.226,0.84382,0.82573,1.17903,0.76385,0.77643,0.82948,0.61637,0.85313,0.76342,1.16887,0.000816875,0.000816875,0.000816875
16,450.905,0.82062,0.79695,1.16452,0.74766,0.75378,0.8401,0.6448,0.78561,0.6954,1.11738,0.000785938,0.000785938,0.000785938
17,479.204,0.8113,0.80141,1.15914,0.74099,0.86969,0.87235,0.65301,0.81481,0.70819,1.13585,0.000755,0.000755,0.000755
18,507.424,0.80478,0.78016,1.15958,0.72016,0.82761,0.85455,0.65044,0.7816,0.70436,1.0928,0.000724062,0.000724062,0.000724062
19,535.114,0.80902,0.79824,1.16878,0.74058,0.88049,0.87762,0.67567,0.78898,0.66329,1.11543,0.000693125,0.000693125,0.000693125
20,562.912,0.78151,0.75409,1.15506,0.82763,0.83334,0.90575,0.70073,0.74355,0.57178,1.0771,0.000662188,0.000662188,0.000662188
21,590.794,0.77242,0.71817,1.13137,0.77362,0.85476,0.88364,0.68362,0.79695,0.59645,1.12903,0.00063125,0.00063125,0.00063125
